Country;Year;GDP_scale;esi_con;esi_ind;ggfl;gdptr;gdp;gdpv;r_sh;r_lo;pfce;gfcf;popt;fbgsd;NE;itv;fddv;ipv;cpv;utr;totmk;neer;hfce;pfce_new;yrg;oco;sspg;cgv;igv;ggdeficit;CPI;CC;IC;SMC;BC;rec_index;EPL;PMR;imf_dir_ut;imf_dir_at;imf_dir_at1;imf_dir_at2;imf_dir_at3;imf_dir_at4;imf_dir_at5;imf_ind_ut;imf_ind_at;imf_ind_at1;imf_ind_at2;imf_ind_at3;imf_ind_at4;imf_ind_at5;imf_tnyc_ut;imf_tnyc_at;imf_tnyc_at1;imf_tnyc_at2;imf_tnyc_at3;imf_tnyc_at4;imf_tnyc_at5;imf_toth_ut;imf_toth_at;imf_toth_at1;imf_toth_at2;imf_toth_at3;imf_toth_at4;imf_toth_at5;imf_con_ut;imf_con_at;imf_con_at1;imf_con_at2;imf_con_at3;imf_con_at4;imf_con_at5;imf_tra_ut;imf_tra_at;imf_tra_at1;imf_tra_at2;imf_tra_at3;imf_tra_at4;imf_tra_at5;imf_snyc_ut;imf_snyc_at;imf_snyc_at1;imf_snyc_at2;imf_snyc_at3;imf_snyc_at4;imf_snyc_at5;imf_soth_ut;imf_soth_at;imf_soth_at1;imf_soth_at2;imf_soth_at3;imf_soth_at4;imf_soth_at5;IMF_TAX_UT;IMF_TAX_ATT;IMF_TAX_ATT1;IMF_TAX_ATT2;IMF_TAX_ATT3;IMF_TAX_ATT4;IMF_TAX_ATT5;IMF_SPND_UT;IMF_SPND_ATT;IMF_SPND_ATT1;IMF_SPND_ATT2;IMF_SPND_ATT3;IMF_SPND_ATT4;IMF_SPND_ATT5;IMF_TAX_TOT;IMF_SPND_TOT;IMF_plan;IMF_DB;IMF_IB;IMF_CB;IMF_TRB;IMF_NYC;IMF_EB;IMF_TB;debti;debta;debt_new;sfa_a_value;netint;deficit;primary_def;dis;receipts;cap_transf_paid;gov_cons_fixedcap;captrans_gdp;govconscap_gdp;oecd_exp_resid;currentdisb;currentdisb_gdp;igaa;cgaa;cost of debt
AUS;1978;110,872;100,519;100,425;NA;NA;1,10872E+11;5,07444E+11;9,843;9,06;276,4473572;128,421051;14359250;-2090209464;65301256027;83631000000;4,42143E+11;71235000000;2,78436E+11;6,29;127,01;107,743;1,66063E+11;63345000000;31913036722;4764036722;7729000000;92614000000;12396000000;NA;22,8136118;0;0;0;0;0;NA;4,101190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
AUS;1979;127,218;99,887;100,486;NA;NA;1,27218E+11;5,30874E+11;9,773;9,749;281,5260925;133,1726837;14515730;294133098,8;77465281552;88892000000;4,53409E+11;76811000000;2,81898E+11;6,265;204,19;103,389;1,68558E+11;70280000000;37065612098;5293612098;8385000000;93635000000;12081000000;NA;24,88736934;0;0;0;0;0;NA;4,101190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
AUS;1980;143,552;100,086;100,347;NA;NA;1,43552E+11;5,45349E+11;12,028;11,648;290,5109558;141,9708099;14695360;-1258182131;72445807139;95837000000;4,72903E+11;84509000000;2,89544E+11;6,105;311,38;105,887;1,71679E+11;79622000000;43137290692;6133290692;9258000000;97377000000;11328000000;NA;27,40760927;0;0;0;0;0;NA;4,101190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
AUS;1981;164,365;99,989;100,44;NA;NA;1,64365E+11;5,68139E+11;15,038;13,958;303,2333374;156,6333313;14923260;-5257268215;65425553462;1,06517E+11;5,02713E+11;95609000000;3,03037E+11;5,784;233,19;115,325;1,77431E+11;91068000000;48786643752;7208643752;10260000000;1,01202E+11;10908000000;NA;30,06388488;0;0;1;0;0;NA;4,101190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
AUS;1982;183,462;98,532;97,367;NA;NA;1,83462E+11;5,66138E+11;16,834;15,375;312,8442993;153,2335358;15184250;-5226847891;54061421834;1,04701E+11;5,12077E+11;93880000000;3,16212E+11;7,163;205,11;111,341;1,87324E+11;1,04918E+11;56714846799;8962846799;12230000000;1,01033E+11;10821000000;NA;33,41465843;1;0;1;0;1;NA;4,101190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
AUS;1983;198,726;99,911;99,707;NA;NA;1,98726E+11;5,65234E+11;12,199;13,888;314,1576233;138,2608643;15393470;-2668344703;53548687325;97893000000;5,11685E+11;86035000000;3,20393E+11;9,961;344,86;103,381;1,91856E+11;1,15956E+11;61293275454;10579275454;15208000000;1,0665E+11;11858000000;NA;36,79407106;0;0;0;0;0;NA;4,101190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
AUS;1984;224,643;101,687;100,319;NA;NA;2,24643E+11;6,02121E+11;12,1;13,525;325,8115234;152,3036652;15579390;-4329287351;70686158787;1,07764E+11;5,31435E+11;93927000000;3,22466E+11;8,987;312,24;106,406;1,94227E+11;1,24313E+11;73225500477;11808500477;16558000000;1,1241E+11;13837000000;NA;38,24750489;0;0;0;0;0;NA;4,101190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
AUS;1985;249,078;100,289;100,263;NA;2,47789E+11;2,49078E+11;6,32841E+11;15,983;13,954;339,7549133;170,3921509;15788310;-4309420517;67183684093;1,1997E+11;5,65657E+11;1,05098E+11;3,36334E+11;8,258;432,79;88,079;1,95892E+11;1,38212E+11;83826721681;13471721681;17469000000;1,19145E+11;14872000000;NA;40,825023;1;0;0;0;0;1,0208335;4,101190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0187;0;0,0187;0;0;0;0;0,15825;0;0,15825;0;0;0;0;0;0;0;0;0;0;0;0,09014;0;0,09014;0;0;0;0;0;0;0;0;0;0;0;0,26709;0;0,26709;0;0;0;0;0;0,53418;1;0;0;0;1;0;1;0;22,00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
AUS;1986;271,033;98,988;98,866;NA;2,72837E+11;2,71033E+11;6,45183E+11;16,452;13,417;345,4606628;169,1910095;16018350;-4689680702;67297047408;1,19346E+11;5,77886E+11;1,03182E+11;3,45918E+11;8,081;622,78;72,345;2,06289E+11;1,53828E+11;93318169434;14920169434;19132000000;1,24132E+11;16164000000;NA;44,53378517;0;0;0;0;1;1,0208335;4,101190476;-0,10037;0;-0,58415;-0,48378;0;0;0;0,03192;0;0,03192;0;0;0;0;0;0;0;0;0;0;0;0,23426;0;0,23426;0;0;0;0;0,13831;0,0187;0,10812;-0,03019;0;0;0;0,18789;0,15825;0,14687;-0,04102;0;0;0;0;0;0;0;0;0;0;0,04617;0,09014;0,03609;-0,01008;0;0;0;0,16581;0;-0,31797;-0,48378;0;0;0;0,37237;0,26709;0,29108;-0,08129;0;0;0;-0,63594;0,84925;1;0;0;0;1;0;1;0;23,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
AUS;1987;305,133;99,15;100,23;NA;3,03008E+11;3,05133E+11;6,7896E+11;13,75;13,192;351,4285583;172,9399567;16263870;-2123675890;83149702140;1,2481E+11;5,9581E+11;1,09333E+11;3,54899E+11;8,106;614,17;69,081;2,10725E+11;1,70089E+11;1,06596E+11;15799261715;20642000000;1,27167E+11;15477000000;NA;48,31414507;0;0;0;0;0;1,0208335;4,101190476;0;-0,58415;-0,48378;0;0;0;0;0;0,03192;0;0;0;0;0;0;0;0;0;0;0;0;0;0,23426;0;0;0;0;0;0,23337;0,10812;0,20317;0;0;0;0;0,04612;0,14687;0,0051;0;0;0;0;0;0;0;0;0;0;0;0,11991;0,03609;0,10983;0;0;0;0;0;-0,31797;-0,48378;0;0;0;0;0,3994;0,29108;0,3181;0;0;0;0;-0,80175;1,00858;1;0;0;1;0;0;1;0;22,06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#WERT!;#WERT!;#WERT!;NA;#WERT!;NA;NA;#WERT!
