Variable;Unit/Description;Country;Unit;Year;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Unemployment, Percentage of active population (ZUTN);Rate:;Belgium;(Percentage of active population);;9,6;9,6;9,4;9,4;8,7;7,1;6,7;7,6;8,3;8,5;8,6;8,4;7,6;7,1;8,0;8,4;7,2;7,6;8,6;8,7;8,7;7,9;7,2;6,0;5,5;5,8;6,3
Unemployment, Percentage of active population (ZUTN);Rate:;Bulgaria;(Percentage of active population);;12,4;11,8;14,5;13,3;14,9;19,6;23,6;21,1;15,9;14,1;11,7;10,5;8,0;6,5;7,9;11,3;12,3;13,3;13,9;12,4;10,1;8,6;7,2;6,2;5,2;6,1;5,3
Unemployment, Percentage of active population (ZUTN);Rate:;Czechia;(Percentage of active population);;4,1;3,9;4,8;6,5;8,8;8,8;8,2;7,3;7,8;8,3;7,9;7,2;5,3;4,4;6,7;7,3;6,7;7,0;7,0;6,1;5,1;4,0;2,9;2,2;2,0;2,6;2,8
Unemployment, Percentage of active population (ZUTN);Rate:;Denmark;(Percentage of active population);;7,3;6,8;5,7;5,4;5,6;4,6;4,6;4,6;5,4;5,5;4,8;3,9;3,8;3,7;6,4;7,7;7,8;7,8;7,4;6,9;6,3;6,0;5,8;5,1;5,0;5,6;5,1
Unemployment, Percentage of active population (ZUTN);Rate:;Germany;(Percentage of active population);;7,9;8,5;9,3;9,0;8,1;7,4;7,5;8,2;9,3;10,2;10,5;9,6;8,1;7,0;7,3;6,6;5,5;5,1;5,0;4,7;4,4;3,9;3,6;3,2;3,0;3,7;3,6
Unemployment, Percentage of active population (ZUTN);Rate:;Estonia;(Percentage of active population);;9,8;10,2;10,2;10,0;12,4;14,6;13,0;11,2;10,3;10,1;8,0;5,9;4,6;5,5;13,5;16,6;12,3;9,9;8,6;7,3;6,4;6,8;5,8;5,4;4,5;6,9;6,2
Unemployment, Percentage of active population (ZUTN);Rate:;Ireland;(Percentage of active population);;12,1;11,6;9,9;7,8;5,9;4,5;4,2;4,7;4,8;4,7;4,6;4,8;5,0;6,8;12,6;14,6;15,4;15,5;13,8;11,9;9,9;8,4;6,7;5,8;5,0;5,9;6,2
Unemployment, Percentage of active population (ZUTN);Rate:;Greece;(Percentage of active population);;9,6;10,0;10,4;11,4;12,4;11,6;11,0;10,6;10,0;10,8;10,2;9,2;8,6;8,0;9,8;12,9;18,1;24,8;27,8;26,6;25,0;23,9;21,8;19,7;17,9;17,6;14,7
Unemployment, Percentage of active population (ZUTN);Rate:;Spain;(Percentage of active population);;22,9;22,1;20,6;18,6;15,7;13,9;10,6;11,5;11,5;11,0;9,2;8,5;8,2;11,3;17,9;19,9;21,4;24,8;26,1;24,5;22,1;19,6;17,2;15,3;14,1;15,5;14,8
Unemployment, Percentage of active population (ZUTN);Rate:;France;(Percentage of active population);;10,2;10,5;10,7;10,3;10,0;8,6;7,8;7,9;8,5;8,9;8,9;8,8;8,0;7,4;9,1;9,3;9,2;9,8;10,3;10,3;10,3;10,1;9,4;9,0;8,4;8,0;7,9
Unemployment, Percentage of active population (ZUTN);Rate:;Croatia;(Percentage of active population);;-;-;-;-;-;15,6;16,0;15,0;14,2;13,7;12,8;11,3;9,9;8,6;9,2;11,7;13,7;16,0;17,3;17,3;16,2;13,1;11,2;8,5;6,6;7,5;7,6
Unemployment, Percentage of active population (ZUTN);Rate:;Italy;(Percentage of active population);;11,5;11,9;11,9;12,1;11,5;10,7;9,7;9,1;8,8;8,1;7,8;6,9;6,2;6,8;7,9;8,5;8,5;10,9;12,4;12,9;12,0;11,7;11,3;10,6;9,9;9,3;9,5
Unemployment, Percentage of active population (ZUTN);Rate:;Cyprus;(Percentage of active population);;-;-;5,0;5,0;5,2;4,9;3,9;3,6;4,3;4,7;5,3;4,6;3,9;3,7;5,4;6,3;7,9;11,9;15,9;16,1;15,0;13,0;11,1;8,4;7,1;7,6;7,5
Unemployment, Percentage of active population (ZUTN);Rate:;Latvia;(Percentage of active population);;14,8;15,9;14,6;14,2;14,2;14,5;13,9;12,6;11,7;11,8;10,1;7,1;6,2;7,8;17,7;19,7;16,3;15,1;11,9;10,9;9,9;9,7;8,7;7,4;6,3;8,1;7,6
Unemployment, Percentage of active population (ZUTN);Rate:;Lithuania;(Percentage of active population);;6,8;7,8;13,1;13,4;14,4;16,4;17,3;13,7;12,5;10,9;8,3;5,8;4,3;5,8;13,8;17,8;15,4;13,4;11,8;10,7;9,1;7,9;7,1;6,2;6,3;8,5;7,1
Unemployment, Percentage of active population (ZUTN);Rate:;Luxembourg;(Percentage of active population);;2,9;2,9;2,5;2,6;2,4;2,4;2,3;2,9;3,7;5,1;4,5;4,7;4,1;5,1;5,1;4,4;4,9;5,1;5,9;5,9;6,7;6,3;5,5;5,6;5,6;6,8;5,3
Unemployment, Percentage of active population (ZUTN);Rate:;Hungary;(Percentage of active population);;9,5;9,6;8,8;8,2;6,8;6,2;5,5;5,6;5,7;5,9;7,0;7,3;7,2;7,6;9,7;10,8;10,7;10,7;9,8;7,5;6,6;5,0;4,0;3,6;3,3;4,1;4,1
Unemployment, Percentage of active population (ZUTN);Rate:;Malta;(Percentage of active population);;4,6;5,2;6,3;6,4;6,4;6,6;6,9;6,9;7,6;7,2;6,9;6,8;6,5;6,0;6,9;6,9;6,4;6,2;6,1;5,7;5,4;4,7;4,0;3,7;3,6;4,4;3,4
Unemployment, Percentage of active population (ZUTN);Rate:;Netherlands;(Percentage of active population);;8,7;7,9;6,8;5,4;4,4;3,6;2,8;3,4;4,5;5,6;7,2;6,1;5,2;4,5;5,4;6,1;6,0;6,8;8,2;8,4;7,9;7,0;5,9;4,9;4,4;4,9;4,2
Unemployment, Percentage of active population (ZUTN);Rate:;Austria;(Percentage of active population);;4,5;4,9;4,9;4,7;4,0;3,8;3,9;4,3;4,6;5,9;6,0;5,7;5,3;4,4;5,7;5,2;4,9;5,2;5,7;6,0;6,1;6,5;5,9;5,2;4,8;6,0;6,2
Unemployment, Percentage of active population (ZUTN);Rate:;Poland;(Percentage of active population);;13,3;12,3;11,3;10,7;13,7;16,8;19,0;20,7;20,4;19,7;18,5;14,4;10,0;7,4;8,5;10,0;10,0;10,4;10,6;9,2;7,7;6,3;5,0;3,9;3,3;3,2;3,4
Unemployment, Percentage of active population (ZUTN);Rate:;Portugal;(Percentage of active population);;8,6;8,6;8,1;6,0;5,4;4,8;4,8;6,0;7,5;7,8;9,0;9,1;9,5;9,0;11,2;12,6;13,5;16,6;17,2;14,6;13,0;11,5;9,2;7,2;6,7;7,0;6,6
Unemployment, Percentage of active population (ZUTN);Rate:;Romania;(Percentage of active population);;11,0;8,3;7,4;7,8;8,6;8,9;8,3;10,5;8,5;9,9;8,8;8,9;7,8;7,1;8,4;9,0;9,1;8,7;9,0;8,6;8,4;7,2;6,1;5,3;4,9;6,1;5,6
Unemployment, Percentage of active population (ZUTN);Rate:;Slovenia;(Percentage of active population);;6,8;6,9;6,9;7,4;7,4;6,8;6,2;6,3;6,7;6,3;6,5;6,0;4,9;4,4;5,9;7,3;8,2;8,9;10,1;9,7;9,0;8,0;6,6;5,1;4,4;5,0;4,8
Unemployment, Percentage of active population (ZUTN);Rate:;Slovakia;(Percentage of active population);;12,1;10,9;12,2;12,6;16,4;18,8;19,3;18,7;17,6;18,2;16,3;13,4;11,1;9,5;12,0;14,3;13,5;13,9;14,1;13,1;11,5;9,6;8,1;6,5;5,7;6,7;6,8
Unemployment, Percentage of active population (ZUTN);Rate:;Finland;(Percentage of active population);;15,6;14,1;13,3;11,5;10,3;9,9;9,2;9,2;9,1;8,9;8,5;7,8;7,0;6,5;8,3;8,6;8,0;7,9;8,3;8,7;9,4;8,9;8,7;7,5;6,8;7,7;7,7
Unemployment, Percentage of active population (ZUTN);Rate:;Sweden;(Percentage of active population);;10,0;10,7;11,0;9,3;7,9;6,7;5,0;5,2;5,8;6,6;7,6;7,2;6,3;6,3;8,5;8,8;8,0;8,1;8,2;8,1;7,6;7,1;6,8;6,5;7,0;8,5;8,8
Unemployment, Percentage of active population (ZUTN);Rate:;United Kingdom;(Percentage of active population);;8,6;8,1;6,9;6,2;6,0;5,4;5,1;5,2;5,0;4,8;4,8;5,4;5,3;5,7;7,6;7,9;8,1;8,0;7,6;6,2;5,4;4,9;4,4;4,1;3,8;4,6;4,5
