Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Euro area (20 countries);(Percentage of trend GDP at current prices);;47,2;48,6;49,5;50,4;49,3;46,8;46,3;46,1;45,6;45,7;45,7;45,9;46,3;46,5;47,7;47,0;45,7;44,8;44,6;44,1;44,0;44,0;44,0;44,1;44,0;43,8;43,4;43,5;44,1;47,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;European Union;(Percentage of trend GDP at current prices);;46,6;47,9;48,9;49,7;49,0;46,5;46,0;45,7;45,3;45,5;45,5;45,7;46,1;46,4;47,4;46,8;45,8;45,0;44,8;44,3;44,1;44,3;44,2;44,2;44,2;44,1;43,7;43,9;44,6;47,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Euro area;(Percentage of trend GDP at current prices);;47,2;48,6;49,5;50,4;49,3;46,8;46,3;46,1;45,7;45,7;45,7;45,9;46,3;46,5;47,7;47,0;45,7;44,8;44,6;44,1;43,9;44,0;44,0;44,1;44,0;43,8;43,3;43,5;44,1;47,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Belgium;(Percentage of trend GDP at current prices);;52,9;54,1;53,5;53,7;54,0;51,1;50,7;49,9;50,4;50,8;51,9;52,1;52,8;51,9;50,2;49,7;47,9;46,4;45,3;47,7;44,5;44,8;44,0;43,0;43,7;43,7;43,0;43,6;43,4;43,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Bulgaria;(Percentage of trend GDP at current prices);;41,8;42,8;44,0;40,5;39,3;36,4;36,3;33,7;33,4;38,6;41,0;36,0;33,5;33,5;36,1;39,7;40,0;39,4;34,2;36,0;35,8;35,4;35,4;34,0;36,0;33,9;29,8;23,5;25,1;23,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Czechia;(Percentage of trend GDP at current prices);;41,6;44,3;44,2;45,5;45,4;42,5;41,4;39,3;38,5;40,4;39,5;39,4;42,1;41,9;42,4;43,1;43,0;42,5;42,5;41,9;40,5;46,8;42,2;41,7;39,4;39,1;40,1;41,0;42,1;52,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Denmark;(Percentage of trend GDP at current prices);;47,6;47,7;48,9;50,7;51,6;49,8;50,7;50,6;51,3;52,2;52,4;52,7;54,8;53,5;53,5;52,7;50,5;50,3;50,3;49,8;50,4;50,1;50,1;50,3;50,5;51,0;51,1;51,2;52,3;52,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Germany;(Percentage of trend GDP at current prices);;46,6;47,6;48,9;50,4;48,6;45,4;44,6;44,4;43,6;42,7;42,6;42,6;42,5;43,1;44,7;43,2;42,7;42,0;42,9;43,1;43,3;44,6;45,1;45,3;45,3;45,1;44,6;44,8;45,5;51,7;45,2;45,2;46,1;45,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Estonia;(Percentage of trend GDP at current prices);;41,0;41,5;41,0;43,4;44,4;40,5;39,9;39,5;38,3;38,2;36,6;36,9;38,0;35,6;36,2;41,4;43,1;41,4;38,9;36,4;34,6;34,8;34,8;33,6;35,0;37,1;38,7;37,4;36,5;37,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Ireland;(Percentage of trend GDP at current prices);;19,5;22,0;25,0;27,1;26,3;23,5;25,2;25,1;25,8;28,8;28,4;29,7;33,3;40,4;59,6;42,7;41,9;39,9;36,4;35,0;33,8;32,4;33,6;32,8;31,3;31,7;31,0;32,0;32,3;33,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
