LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AUS;GDP;TOT;USD_CAP;A;1994;21432775454;
AUS;GDP;TOT;USD_CAP;A;1995;22442316842;
AUS;GDP;TOT;USD_CAP;A;1996;23289401829;
AUS;GDP;TOT;USD_CAP;A;1997;24477413795;
AUS;GDP;TOT;USD_CAP;A;1998;25708263828;
AUS;GDP;TOT;USD_CAP;A;1999;27139248201;
AUS;GDP;TOT;USD_CAP;A;2000;28312859441;
AUS;GDP;TOT;USD_CAP;A;2001;29546415014;
AUS;GDP;TOT;USD_CAP;A;2002;30807514079;
AUS;GDP;TOT;USD_CAP;A;2003;32391486238;
AUS;GDP;TOT;USD_CAP;A;2004;34000173773;
AUS;GDP;TOT;USD_CAP;A;2005;35659125487;
AUS;GDP;TOT;USD_CAP;A;2006;37938792079;
AUS;GDP;TOT;USD_CAP;A;2007;3968744861;
AUS;GDP;TOT;USD_CAP;A;2008;40130341686;
AUS;GDP;TOT;USD_CAP;A;2009;4167292375;
AUS;GDP;TOT;USD_CAP;A;2010;4281642896;
AUS;GDP;TOT;USD_CAP;A;2011;44440579478;
AUS;GDP;TOT;USD_CAP;A;2012;43884635595;
AUS;GDP;TOT;USD_CAP;A;2013;477632159;
AUS;GDP;TOT;USD_CAP;A;2014;47606754929;
AUS;GDP;TOT;USD_CAP;A;2015;47226759745;
AUS;GDP;TOT;USD_CAP;A;2016;50136798381;
AUS;GDP;TOT;USD_CAP;A;2017;50706489861;
AUS;GDP;TOT;USD_CAP;A;2018;53025386896;
AUS;GDP;TOT;USD_CAP;A;2019;52785250556;
AUS;GDP;TOT;USD_CAP;A;2020;55772741079;
AUS;GDP;TOT;USD_CAP;A;2021;6209540433;
AUS;GDP;TOT;USD_CAP;A;2022;6870089428;E
AUT;GDP;TOT;USD_CAP;A;1994;22642841565;E
AUT;GDP;TOT;USD_CAP;A;1995;2369810309;
AUT;GDP;TOT;USD_CAP;A;1996;24560615338;
AUT;GDP;TOT;USD_CAP;A;1997;25426661912;
AUT;GDP;TOT;USD_CAP;A;1998;26675649686;
AUT;GDP;TOT;USD_CAP;A;1999;27606484243;
AUT;GDP;TOT;USD_CAP;A;2000;29381672832;
AUT;GDP;TOT;USD_CAP;A;2001;2970848945;
AUT;GDP;TOT;USD_CAP;A;2002;31178051444;
AUT;GDP;TOT;USD_CAP;A;2003;32158459529;
AUT;GDP;TOT;USD_CAP;A;2004;33784446804;
AUT;GDP;TOT;USD_CAP;A;2005;35024557484;
AUT;GDP;TOT;USD_CAP;A;2006;37662888035;
AUT;GDP;TOT;USD_CAP;A;2007;39437038795;
AUT;GDP;TOT;USD_CAP;A;2008;41316022642;
AUT;GDP;TOT;USD_CAP;A;2009;40927556365;
AUT;GDP;TOT;USD_CAP;A;2010;42019005887;
AUT;GDP;TOT;USD_CAP;A;2011;44469209642;
AUT;GDP;TOT;USD_CAP;A;2012;46477655075;
AUT;GDP;TOT;USD_CAP;A;2013;47936677963;
AUT;GDP;TOT;USD_CAP;A;2014;48813534409;
AUT;GDP;TOT;USD_CAP;A;2015;49942056293;
AUT;GDP;TOT;USD_CAP;A;2016;52665087457;
AUT;GDP;TOT;USD_CAP;A;2017;54188360666;
AUT;GDP;TOT;USD_CAP;A;2018;56956110562;
AUT;GDP;TOT;USD_CAP;A;2019;59719612013;
AUT;GDP;TOT;USD_CAP;A;2020;57258818295;
AUT;GDP;TOT;USD_CAP;A;2021;59991439846;
AUT;GDP;TOT;USD_CAP;A;2022;68774881689;
BEL;GDP;TOT;USD_CAP;A;1994;21518504151;E
BEL;GDP;TOT;USD_CAP;A;1995;22447051902;
BEL;GDP;TOT;USD_CAP;A;1996;22743894711;
BEL;GDP;TOT;USD_CAP;A;1997;23732789845;
BEL;GDP;TOT;USD_CAP;A;1998;24369501242;
BEL;GDP;TOT;USD_CAP;A;1999;25441891387;
BEL;GDP;TOT;USD_CAP;A;2000;27790606306;
BEL;GDP;TOT;USD_CAP;A;2001;28792401342;
BEL;GDP;TOT;USD_CAP;A;2002;30281667989;
BEL;GDP;TOT;USD_CAP;A;2003;30934823303;
BEL;GDP;TOT;USD_CAP;A;2004;32063687224;
BEL;GDP;TOT;USD_CAP;A;2005;33176680884;
BEL;GDP;TOT;USD_CAP;A;2006;35256775979;
BEL;GDP;TOT;USD_CAP;A;2007;36794811405;
BEL;GDP;TOT;USD_CAP;A;2008;37883233422;
BEL;GDP;TOT;USD_CAP;A;2009;37751634063;
BEL;GDP;TOT;USD_CAP;A;2010;39836533412;
BEL;GDP;TOT;USD_CAP;A;2011;40943343479;
BEL;GDP;TOT;USD_CAP;A;2012;42290477674;
BEL;GDP;TOT;USD_CAP;A;2013;43672712292;
BEL;GDP;TOT;USD_CAP;A;2014;44929933328;
BEL;GDP;TOT;USD_CAP;A;2015;46201685891;
BEL;GDP;TOT;USD_CAP;A;2016;48599202676;
BEL;GDP;TOT;USD_CAP;A;2017;50442947518;
BEL;GDP;TOT;USD_CAP;A;2018;5253084151;
BEL;GDP;TOT;USD_CAP;A;2019;55804713631;
BEL;GDP;TOT;USD_CAP;A;2020;5454441924;P
BEL;GDP;TOT;USD_CAP;A;2021;58845530928;P
BEL;GDP;TOT;USD_CAP;A;2022;65818301179;P
CAN;GDP;TOT;USD_CAP;A;1994;22632831273;
CAN;GDP;TOT;USD_CAP;A;1995;23485643444;
CAN;GDP;TOT;USD_CAP;A;1996;24050176142;
CAN;GDP;TOT;USD_CAP;A;1997;25259725362;
CAN;GDP;TOT;USD_CAP;A;1998;26319930258;
CAN;GDP;TOT;USD_CAP;A;1999;27841629576;
CAN;GDP;TOT;USD_CAP;A;2000;29362289573;
CAN;GDP;TOT;USD_CAP;A;2001;30231005032;
CAN;GDP;TOT;USD_CAP;A;2002;30963222007;
CAN;GDP;TOT;USD_CAP;A;2003;32350070882;
CAN;GDP;TOT;USD_CAP;A;2004;3392589256;
CAN;GDP;TOT;USD_CAP;A;2005;36327662059;
CAN;GDP;TOT;USD_CAP;A;2006;38120176792;
CAN;GDP;TOT;USD_CAP;A;2007;39575324973;
CAN;GDP;TOT;USD_CAP;A;2008;40376330167;
CAN;GDP;TOT;USD_CAP;A;2009;38865406022;
CAN;GDP;TOT;USD_CAP;A;2010;40099497886;
CAN;GDP;TOT;USD_CAP;A;2011;41666718851;
CAN;GDP;TOT;USD_CAP;A;2012;42290879082;
CAN;GDP;TOT;USD_CAP;A;2013;44298514462;
CAN;GDP;TOT;USD_CAP;A;2014;45753782936;
CAN;GDP;TOT;USD_CAP;A;2015;44670054374;
CAN;GDP;TOT;USD_CAP;A;2016;46472368771;
