"","country","year","gini_disp","gini_disp_se","gini_mkt","gini_mkt_se","lending","expenditures","revenue","gdp_growth_rate","fbinpercGDP","unemp_rate"
"1","Austria",1995,26.6,0.87,43.9,1.11,-5.8,51.5,49.7,2.66798353089548,-2.6,4.5
"2","Austria",1996,26.2,0.81,43.9,1.07,-4.1,51.3,51.1,2.34953385169727,-2.8,4.9
"3","Austria",1997,26.1,0.82,44,1.06,-1.9,47.9,49.7,2.09359938952392,-2.5,4.9
"4","Austria",1998,26.2,0.92,44.3,1.05,-2.5,48.5,49.5,3.58142581460447,-2,4.7
"5","Austria",1999,26.1,0.87,44.4,1.06,-3,49,49.5,3.55633124664169,-2.4,4
"6","Austria",2000,26.1,0.9,44.7,1.13,-3.3,48.4,48.6,3.37572214708479,-0.7,3.8
"7","Austria",2001,26.3,1.06,45.1,1.24,-0.9,48,50.7,1.26716818922992,-0.8,3.9
"8","Austria",2002,26.5,0.99,45.6,1.19,-1.3,47.5,49.7,1.65155392186669,2.1,4.3
"9","Austria",2003,26.5,0.81,45.9,1,-1,47.3,49.5,0.941470920725337,1.5,4.6
"10","Austria",2004,26.6,0.75,46.4,0.87,-4.4,50.3,48.9,2.73512022241023,1.9,5.9
"11","Austria",2005,26.6,0.69,47,0.86,-2.3,47.7,48.6,2.24406532463878,2,6
"12","Austria",2006,27,0.71,47.8,0.89,-3.2,48,47.9,3.45404183614122,2.8,5.7
"13","Austria",2007,27.7,0.75,48.4,0.92,-3.2,48,47.9,3.72741530093519,3.3,5.3
"14","Austria",2008,28,0.75,49,0.95,-3.4,48.8,48.4,1.4604236757386,4.2,4.4
"15","Austria",2009,28.3,0.74,49.5,0.95,-4.3,49.9,48.8,-3.76457817791677,2.4,5.7
"16","Austria",2010,28.1,0.74,49.7,0.92,-3.7,49.2,48.4,1.83709367680054,3.3,5.2
"17","Austria",2011,28,0.77,49.9,0.91,-2.9,48.4,48.3,2.92279728368581,2.2,4.9
"18","Austria",2012,27.9,0.76,49.9,0.88,-2.3,48.6,49,0.680445576816723,1.9,5.2
"19","Austria",2013,27.9,0.82,49.9,0.89,-1.5,48.6,49.7,0.0255047121972183,1.9,5.7
"20","Austria",2014,27.8,0.85,49.9,0.95,-2,49.3,49.7,0.661272848852605,2.5,6
"21","Austria",2015,27.8,0.85,49.9,0.93,-0.3,48.1,50.1,1.01450158590511,1.9,6.1
